"short_name","npc_name","respawn_seconds"
"airplane","Thunder Spirit Princess",""
"airplane","Noble Dojorn",""
"airplane","Protector of Sky",""
"airplane","Gorgalosk",""
"airplane","Keeper of Souls",""
"airplane","The Spiroc Lord",""
"airplane","The Spiroc Guardian",""
"airplane","Bazzt Zzzt",""
"airplane","Sister of the Spire",""
"airplane","Eye of Veeshan",""
"befallen","Boondin Babbinsbort",""
"befallen","Commander Windstream",""
"befallen","An Elf Skeleton","400"
"befallen","Gynok Moltor",""
"befallen","Priest Amiaz",""
"befallen","Skeleton Lrodd",""
"befallen","The Thaumaturgist",""
"beholder","King Xorbb",""
"beholder","Lord Syrkl",""
"beholder","Lord Sviir",""
"beholder","Lord Soptyvr",""
"beholder","SpinFlint",""
"beholder","Brahhm",""
"beholder","Yymp the Infernal",""
"beholder","Qlei",""
"beholder","Goblin Alchect",""
"blackburrow","Lord Elgnub",""
"blackburrow","Master Brewer",""
"blackburrow","Refugee Splitpaw",""
"blackburrow","a gnoll commander",""
"blackburrow","Splitpaw Commander",""
"cabeast","Vessel Drozlin",""
"charasis","Sentient Bile",""
"charasis","The Crypt Excavator",""
"charasis","The Crypt Feaster",""
"charasis","The Crypt Keeper",""
"charasis","Drusella Sathir","86400"
"charasis","Embalming Fluid",""
"charasis","The Golem Master",""
"charasis","Reanimated Plaguebone",""
"charasis","Skeletal Procurator",""
"charasis","The Skeleton Sepulcher",""
"charasis","The Spectre Spiritualist",""
"charasis","The Undertaker Lord",""
"citymist","a black reaver","7200"
"citymist","an army behemoth",""
"citymist","Captain of the Guard",""
"citymist","a human skeleton",""
"citymist","Lhranc",""
"citymist","Lord Ghiosk",""
"citymist","Lord Rak`Ashiir",""
"citymist","Neh`Ashiir",""
"citymist","spectral courier",""
"citymist","Wraith of Jaxion",""
"crushbone","Orc Taskmaster",""
"crushbone","Orc Trainer",""
"crushbone","Orc Warlord",""
"crushbone","Ambassador DVinn",""
"crushbone","Lord Darish",""
"crushbone","Rondo Dunfire",""
"crushbone","Retlon Brenclog","180"
"crushbone","Emperor Crush",""
"crushbone","The Prophet",""
"dalnir","Coerced Channeler",""
"dalnir","Coerced Crusader",""
"dalnir","Coerced Penkeeper",""
"dalnir","a coerced revenant",""
"dalnir","a coerced smith",""
"dalnir","Kly Imprecator",""
"dalnir","The Kly Overseer",""
"dalnir","The Kly",""
"dalnir","Spectral Crusader",""
"dalnir","an undead blacksmith",""
"dalnir","lumpy goo",""
"dreadlands","Gorenaire",""
"dreadlands","A dread widow",""
"dreadlands","a mountain giant patriarch",""
"dreadlands","a wulfare lonewolf",""
"dreadlands","wraithbone champion",""
"droga","a goblin bodyguard",""
"droga","Chief Rokgus",""
"droga","a goblin canyoneer",""
"droga","a maddened Burynai",""
"droga","Soothsayer Dregzak",""
"droga","An angry goblin",""
"droga","Warlord Skargus",""
"eastwastes","Boridain Glacierbane",""
"eastwastes","Gloradin Coldheart",""
"eastwastes","Chief Ry`Gorr",""
"eastwastes","Corbin Blackwell",""
"eastwastes","Ekelng Thunderstone",""
"eastwastes","Firbrand the Black",""
"eastwastes","Oracle of Ry'Gorr",""
"eastwastes","Fjloaren Icebane",""
"eastwastes","Garadain Glacierbane",""
"eastwastes","Ghrek Squatnot",""
"eastwastes","Tain Hammerfrost",""
"eastwastes","Warden Bruke",""
"emeraldjungle","Engorged Soulsipper",""
"emeraldjungle","Severilous",""
"emeraldjungle","Totem Fiendling",""
"everfrost","Karg IceBear",""
"everfrost","Lich of Miragul",""
"everfrost","Megan",""
"everfrost","Tundra Jack",""
"everfrost","Iceberg",""
"everfrost","Snowflake",""
"everfrost","Sulon McMoor",""
"everfrost","Redwind",""
"everfrost","Martar IceBear",""
"everfrost","Dark Assassin",""
"everfrost","Corrupted wooly",""
"fearplane","Fright",""
"fearplane","Dread",""
"fearplane","Terror",""
"fearplane","Dracoliche",""
"fearplane","Cazic Thule",""
"feerrott","Annaelia Wylassi",""
"feerrott","Aqaar Aluram",""
"feerrott","Cyndreela",""
"feerrott","Dark Assassin",""
"feerrott","Eleann Morkul",""
"feerrott","Oknoggin Stonesmacker",""
"feerrott","Roror",""
"feerrott","Spanner Scrapsnatcher",""
"fieldofbone","A scaled prowler",""
"fieldofbone","A skeletal jester",""
"fieldofbone","Burynaibane Spider",""
"fieldofbone","Carrion Queen",""
"fieldofbone","Gharg Oberbord",""
"fieldofbone","Iksar Dakoit",""
"fieldofbone","Jairnel Marfury",""
"fieldofbone","Kerosh Blackhand",""
"fieldofbone","Targishin",""
"fieldofbone","The Tangrin",""
"fieldofbone","a burynai cutter",""
"fieldofbone","a scourgetail scorpion",""
"frozenshadow","Large Undead Gnoll",""
"frozenshadow","Xalgoti",""
"frozenshadow","Zorglim the Dead",""
"frozenshadow","Enraged Shadowbeast",""
"frozenshadow","Amontehepna",""
"frozenshadow","Narmak Berreka",""
"frozenshadow","maggot infested flesh",""
"frozenshadow","Eugie",""
"frozenshadow","Isopca",""
"frozenshadow","Lerty",""
"frozenshadow","Nosja",""
"frozenshadow","Otdd",""
"frozenshadow","Pelpa",""
"frozenshadow","Priest Majes Medory",""
"frozenshadow","Tihgren",""
"frozenshadow","Varjie",""
"frozenshadow","Vyakna",""
"frozenshadow","enraged relative",""
"frozenshadow","lucid spirit of Abrams",""
"frozenshadow","Vhal'Sera",""
"greatdivide","Sentry Badain",""
"greatdivide","Bekerak Coldbones",""
"greatdivide","Blizzent",""
"greatdivide","Bloodmaw",""
"greatdivide","Captain Stonefist",""
"greatdivide","Drakkel Blood Wolf",""
"greatdivide","Fergul Frostsky",""
"greatdivide","Gralk Dwarfkiller",""
"greatdivide","Icetooth",""
